時間,開盤價,最高價,最低價,收盤價,成交量,MA5,MA10,DIF12-26,MACD9,OSC,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,融券(張),差額(張),買進(張),賣出(張),券償(張),使用率,借券餘額(張),差額(張),借券(張),還券(張),當沖張數,當沖率,資券互抵(張),現股當沖(張),當沖比率,買進,賣出,買賣超(張),外資持股(張),買進(張),賣出(張),外資持股比例,買賣超,投信持股,買進,賣出,投信持股比例,買賣超(張),自營商持股(張),買進(張),賣出(張),自營商持股比例,買賣超(張),法人持股(張),買進(張),賣出(張),法人持股比例,買賣差值,買進,賣出
2000/1/4,178,178,175,178,35125,36879,27857,5.07,2.36,2.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,624,1.78%,624,0,0.00%,0,0,0,3255112,0,0,42.43%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3362181,0,0,43.83%,N/A,N/A,N/A
2000/1/5,178,182,176,182,70450,46266,33576,6.35,3.16,3.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7041,9.99%,7041,0,0.00%,0,0,0,3258403,0,0,42.48%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3365472,0,0,43.88%,N/A,N/A,N/A
2000/1/6,181,182,178,178,34579,45459,34922,7.16,3.96,3.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.00%,0,0,0.00%,0,0,0,3256217,0,0,42.45%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3363286,0,0,43.85%,N/A,N/A,N/A
2000/1/7,172,175,170,173,41183,44578,38156,7.22,4.61,2.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.00%,0,0,0.00%,0,0,0,3250857,0,0,42.38%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3357926,0,0,43.78%,N/A,N/A,N/A
2000/1/10,178,180,175,179,48343,45936,40848,7.62,5.21,2.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3081,6.37%,3081,0,0.00%,0,0,0,3259567,0,0,42.49%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3366636,0,0,43.89%,N/A,N/A,N/A
2000/1/11,181,183,175,176,48622,48635,42757,7.79,5.73,2.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,723,1.49%,723,0,0.00%,0,0,0,3278795,0,0,42.74%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3385864,0,0,44.14%,N/A,N/A,N/A
2000/1/12,177,181,176,181,37853,42116,44191,8.02,6.19,1.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2021,5.34%,2021,0,0.00%,0,0,0,3288776,0,0,42.87%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3395845,0,0,44.27%,N/A,N/A,N/A
2000/1/13,181,181,178,178,25818,40364,42912,8.02,6.55,1.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,0.03%,7,0,0.00%,0,0,0,3295619,0,0,42.96%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3402688,0,0,44.36%,N/A,N/A,N/A
2000/1/14,180,185,179,182,50469,42221,43400,8.19,6.88,1.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4439,8.80%,4439,0,0.00%,0,0,0,3303376,0,0,43.06%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3410445,0,0,44.46%,N/A,N/A,N/A
2000/1/15,188,189,186,188,47479,42048,43992,8.69,7.24,1.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2196,4.63%,2196,0,0.00%,0,0,0,3309145,0,0,43.14%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3416214,0,0,44.54%,N/A,N/A,N/A
2000/1/17,190,190,187,187,27177,37759,43197,8.98,7.59,1.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233,0.86%,233,0,0.00%,0,0,0,3315006,0,0,43.22%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3422075,0,0,44.62%,N/A,N/A,N/A
2000/1/18,187,187,183,184,23044,34797,38457,8.85,7.84,1.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.00%,0,0,0.00%,0,0,0,3318322,0,0,43.26%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3425391,0,0,44.66%,N/A,N/A,N/A
2000/1/19,184,187,183,184,23605,34355,37359,8.64,8,0.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,503,2.13%,503,0,0.00%,0,0,0,3325915,0,0,43.36%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3432984,0,0,44.76%,N/A,N/A,N/A
2000/1/20,184,184,181,182,22013,28664,35442,8.2,8.04,0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,661,3.00%,661,0,0.00%,0,0,0,3329380,0,0,43.40%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3436449,0,0,44.80%,N/A,N/A,N/A
2000/1/21,182,186,182,186,19850,23138,32593,7.99,8.03,-0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,447,2.25%,447,0,0.00%,0,0,0,3337449,0,0,43.51%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3444518,0,0,44.91%,N/A,N/A,N/A
2000/1/24,188,191,187,188,30653,23833,30796,8,8.02,-0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,993,3.24%,993,0,0.00%,0,0,0,3346550,0,0,43.63%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3453619,0,0,45.03%,N/A,N/A,N/A
2000/1/25,193,193,190,193,39156,27055,30926,8.22,8.06,0.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2212,5.65%,2212,0,0.00%,0,0,0,3360318,0,0,43.81%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3467387,0,0,45.21%,N/A,N/A,N/A
2000/1/26,199,206,199,206,62645,34863,34609,9.26,8.3,0.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5009,8.00%,5009,0,0.00%,0,0,0,3374248,0,0,43.99%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3481317,0,0,45.39%,N/A,N/A,N/A
2000/1/27,208,211,204,208,50400,40541,34602,10.25,8.69,1.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1609,3.19%,1609,0,0.00%,0,0,0,3376422,0,0,44.02%,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0.00%,0,3483491,0,0,45.42%,N/A,N/A,N/A
