丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,MA5,MA10,DIF12-26,MACD9,OSC,磕戈(じ),畉肂(じ),禦秈(じ),芥(じ),瞷纕(眎),ㄏノ瞯,磕ㄩ(眎),畉肂(眎),禦秈(眎),芥(眎),ㄩ纕(眎),ㄏノ瞯,ㄩ緇肂(眎),畉肂(眎),ㄩ(眎),临ㄩ(眎),讽≧眎计,讽≧瞯,戈ㄩが╄(眎),瞷讽≧(眎),讽≧ゑ瞯,禦秈,芥,禦芥禬(じ),戈仓璸禦芥禬(じ),禦秈(じ),芥(じ),戈ゑㄒ,禦芥禬(じ),щ獺仓璸禦芥禬(じ),禦秈(じ),芥(じ),щ獺ゑㄒ,禦芥禬(じ),犁坝仓璸禦芥禬(じ),禦秈(じ),芥(じ),犁坝ゑㄒ,禦芥禬(じ),猭仓璸禦芥禬(じ),禦秈(じ),芥(じ),猭ゑㄒ,禦芥畉,禦秈,芥
2000/1/4,8644.91,8803.61,8642.5,8756.55,2286.18,1839.27,1552.8,171.17,86.59,84.58,4525货,31.8货,439货,398货,1.62窾,N/A,55.8窾,-1.08窾,3.47窾,4.94窾,1.82窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.9货,3364货,84.5货,43.6货,N/A,28.1货,-407货,78.9货,50.8货,N/A,42.2货,152货,78.0货,35.8货,N/A,111货,3073货,241货,130货,N/A,N/A,N/A,N/A
2000/1/5,8690.6,8867.68,8668.02,8849.87,2527.58,2075.36,1672.96,209.29,111.13,98.16,4586货,60.8货,504货,443货,1.06窾,N/A,58.3窾,2.50窾,5.05窾,7.50窾,2781,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-14.7货,3349货,62.0货,76.7货,N/A,6.16货,-401货,71.2货,65.1货,N/A,9.61货,161货,57.6货,48.0货,N/A,1.04货,3074货,191货,190货,N/A,N/A,N/A,N/A
2000/1/6,8876.59,9023.99,8863.91,8922.03,2681.46,2268.88,1832.7,246.68,138.24,108.44,4657货,70.7货,527货,457货,1.22窾,N/A,58.7窾,4091,4.76窾,5.45窾,2195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-16.7货,3332货,77.1货,93.9货,N/A,15.5货,-385货,90.4货,74.8货,N/A,41.9货,203货,94.8货,52.9货,N/A,40.7货,3115货,262货,222货,N/A,N/A,N/A,N/A
2000/1/7,8856.87,8940.77,8739.43,8845.47,2226.99,2333.58,1964.91,265.96,163.78,102.17,4735货,78.4货,462货,385货,1.61窾,N/A,56.1窾,-2.55窾,7.09窾,5.53窾,9042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-50.6货,3282货,61.0货,112货,N/A,-41.4货,-427货,50.3货,91.7货,N/A,12.1货,215货,62.8货,50.7货,N/A,-79.9货,3035货,174货,254货,N/A,N/A,N/A,N/A
2000/1/10,8918.6,9126.02,8891.79,9102.6,2444.44,2433.33,2072.73,295.02,190.03,104.99,4828货,92.7货,490货,408货,1.12窾,N/A,56.2窾,1232,4.35窾,6.04窾,1.01窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56.2货,3338货,99.5货,43.2货,N/A,2.46货,-424货,83.8货,81.3货,N/A,16.9货,232货,69.4货,52.5货,N/A,75.6货,3110货,253货,177货,N/A,N/A,N/A,N/A
2000/1/11,9199.1,9332.52,8890.45,8927.03,3264.63,2629.02,2234.15,311.52,214.33,97.19,4874货,46.3货,681货,636货,1.51窾,N/A,53.4窾,-2.89窾,6.71窾,4.68窾,5566,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.1货,3388货,128货,77.6货,N/A,15.2货,-409货,97.6货,82.5货,N/A,-5.02货,227货,81.5货,86.5货,N/A,60.2货,3170货,307货,247货,N/A,N/A,N/A,N/A
2000/1/12,8964.78,9144.65,8937.31,9144.65,2367.06,2596.91,2336.14,326.77,236.82,89.95,4949货,75.2货,478货,400货,1.78窾,N/A,53.1窾,-2420,4.53窾,4.70窾,2573,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54.4货,3442货,90.3货,35.9货,N/A,-6.43货,-415货,67.0货,73.4货,N/A,-7342窾,226货,55.6货,56.4货,N/A,47.3货,3218货,213货,166货,N/A,N/A,N/A,N/A
2000/1/13,9168.73,9237.85,9095.35,9107.19,2596.33,2579.89,2424.39,338.5,257.15,81.35,4986货,36.6货,542货,503货,1.51窾,N/A,52.7窾,-3929,4.58窾,4.61窾,3945,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39.9货,3482货,105货,64.6货,N/A,7.14货,-408货,106货,98.9货,N/A,-1.26货,225货,48.6货,49.9货,N/A,45.8货,3263货,259货,213货,N/A,N/A,N/A,N/A
2000/1/14,9172.17,9236.85,8967.56,9023.24,2064.16,2547.32,2440.45,337.92,273.31,64.61,4993货,7.57货,445货,435货,1.77窾,N/A,50.5窾,-2.22窾,5.75窾,3.89窾,3566,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.6货,3528货,69.3货,23.7货,N/A,-11.3货,-420货,42.2货,53.5货,N/A,-5.95货,219货,36.1货,42.1货,N/A,28.3货,3292货,148货,119货,N/A,N/A,N/A,N/A
2000/1/15,9155.74,9210.37,9105.02,9191.37,1835.98,2425.63,2429.48,342.54,287.15,55.38,5056货,62.8货,406货,339货,1.77窾,N/A,52.8窾,2.31窾,3.57窾,6.24窾,2207,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.59货,3538货,19.7货,10.1货,N/A,-1.88货,-421货,38.1货,39.9货,N/A,-3906窾,219货,32.3货,32.7货,N/A,7.32货,3299货,90.1货,82.8货,N/A,N/A,N/A,N/A
2000/1/17,9256.57,9384.52,9230.39,9315.43,1998.35,2172.37,2400.7,353.17,300.36,52.81,5080货,23.5货,414货,388货,1.39窾,N/A,54.9窾,2.09窾,3.45窾,5.78窾,1615,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.9货,3579货,66.9货,25.1货,N/A,7866窾,-421货,57.1货,56.3货,N/A,19.7货,238货,49.1货,29.4货,N/A,62.4货,3361货,173货,111货,N/A,N/A,N/A,N/A
2000/1/18,9346.98,9353.89,9210.36,9250.19,1734.68,2045.9,2321.41,353.86,311.06,42.8,5090货,10.3货,365货,351货,2.18窾,N/A,55.4窾,4942,4.63窾,5.53窾,1388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.1货,3606货,53.7货,27.6货,N/A,-13.0货,-434货,38.0货,51.0货,N/A,-16.4货,222货,22.5货,38.9货,N/A,-3.28货,3358货,114货,117货,N/A,N/A,N/A,N/A
2000/1/19,9255.7,9335.73,9150.86,9151.44,1640.58,1854.75,2217.32,344.89,317.82,27.06,5076货,-13.4货,336货,347货,1.32窾,N/A,54.5窾,-8777,5.02窾,4.34窾,1690,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.8货,3627货,67.7货,46.0货,N/A,-25.0货,-459货,29.1货,54.1货,N/A,2971窾,222货,29.9货,29.6货,N/A,-2.95货,3355货,127货,130货,N/A,N/A,N/A,N/A
